Name,Type,,Mandatory,NoInput
ID,String,,,
EstimationSessionID,String,,,
Name,String,,true,
DeveloperEstimate,String,,true,
DeveloperResource,String,,true,
AnalystEstimate,String,,true,
AnalystResource,String,,,
ConfidenceCODE,String,,true,
ProductManagerResource,String,,,
ProjectManagerResource,String,,,
Description,String,,,
Comments,String,,,
DevOpsID,String,,,
FreshDeskID,String,,,
RSCID,String,,,
OtherID,String,,,
OtherID2,String,,,
DefaultProfile,String,,,
ActualProfile,String,,,
